Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback	Tags
vijjā	ss	fem							knowledge; wisdom; understanding			√vid 3 ya (to know, understand)		√vid + yā	vidyā	√vid							SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho <b>vijjā</b>-caraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	SNP 22	uṭṭhānasuttaṃ<br/>cūḷavaggo 10	pamādo rajo pamādo, pamād’ānupatito rajo, <br/>appamādena <b>vijjāya</b>, abbahe sallam’attano’ti.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses	02n	vijj	ā fem	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vijjā"">feedback</a>"	Buddh’ābhitthuti Pakiṇṇaka-gāthā
vijjācaraṇa	ps	nt	comp						theory and practice; understanding and action; wisdom and behaviour			√vid & √car		vijjā + caraṇa	vidyācaraṇa					DHP 144	daṇḍavaggo	asso yathā bhadro kasāniviṭṭho, ātāpino saṃvegino bhavātha,<br/>saddhāya sīlena ca vīriyena ca, samādhinā dhammavinicchayena ca,<br/>sampanna-<b>vijjācaraṇā</b> patissatā, jahissatha dukkham'idaṃ anappakaṃ.	SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho <b>vijjācaraṇa</b>-sampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	vijjācaraṇ	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vijjācaraṇa"">feedback</a>"	Buddh’ābhitthuti
vijjācaraṇasampanna	s	adj	comp						perfect in theory and practice; accomplished in understanding and action; having wisdom and ethical conduct					vijjā + caraṇa + sampanna	vidyācaraṇasampanna		sampannavijjācaraṇa	(ANa) vijjācaraṇasampanno'ti tīhi vijjāhi ca pañcadasahi caraṇadhammehi ca samannāgato.					SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho <b>vijjācaraṇasampanno</b> sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	vijjācaraṇasampann	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vijjācaraṇasampanna"">feedback</a>"	Buddh’ābhitthuti
caraṇa 1	s	nt		carati					acting; behaviour			√car 1 a (to act, behave)		√car + aṇa	caraṇa	√car							SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjā-<b>caraṇa</b>-sampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	caraṇ	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=caraṇa 1"">feedback</a>"	Buddh’ābhitthuti
sampanna 3	ps	pp		sampajjati				+instr	endowed (with); full (of); having; who embodies; possessed			√pad 3 ya (to go, step)		saṃ + √pad + na	sampanna	√pad				AN 7.67	nagaropamasuttaṃ	seyyathā’pi pākāro hoti ucco c’eva vitthato ca vāsana-lepana-<b>sampanno</b> ca, evam’evaṃ kho ariyasāvako paññavā hoti	SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇa-<b>sampanno</b> sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	sampann	a pp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sampanna 3"">feedback</a>"	Buddh’ābhitthuti
sugata 2	ps	adj	pp	su + gacchati					Fortunate One; epithet of the Buddha; lit. well gone			√gam 1 a (to go)		su + √gam + ta	sugata	√gam				MN 152	indriyabhāvanāsuttaṃ	“etassa, bhagavā, kālo; etassa, <b>sugata</b>, kālo yaṃ bhagavā ariyassa vinaye anuttaraṃ indriyabhāvanaṃ deseyya. bhagavato sutvā bhikkhū dhāressantī”ti.	SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno <b>sugato</b> lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	sugat	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sugata 2"">feedback</a>"	Buddh’ābhitthuti
loka 1	ss	masc							world; universe; cosmos			√lok 8 *e (to look)		√lok + a	loka	√lok							SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato <b>loka</b>-vidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	DN 22.18	mahāsatipaṭṭhānasuttaṃ	idha, bhikkhave, bhikkhu kāye kāy’ānupassī viharati ātāpī sampajāno satimā, vineyya <b>loke</b> abhijjhā-domanassaṃ	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	02n	lok	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=loka 1"">feedback</a>"	Buddh’ābhitthuti Ariy’aṭṭhaṅgika-magga
lokavidū	ps	masc	comp						epithet of the Buddha; knower of the world; understanding the world			√lok & √vid		lokaṃ + vidū	loka + vidu					AN 3.40	ādhipateyyasuttaṃ	pasayha māraṃ abhibhuyya antakaṃ, yo ca phusī jātikkhayaṃ padhānavā,<br/>so tādiso <b>lokavidū</b> sumedho, sabbesu dhammesu atammayo munī'ti.	SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato <b>lokavidū</b> anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	lokavid	ū masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=lokavidū"">feedback</a>"	Buddh’ābhitthuti
vidū 2	s	masc	agent	vidati					wise man; seer; lit. knower			√vid 1 a (to know)		√vid + ū	vidu	√vid							SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato loka-<b>vidū</b> anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	vid	ū masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vidū 2"">feedback</a>"	Buddh’ābhitthuti
purisa	ss	masc							man; some one; somebody						puruṣa								SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro <b>purisa</b>-dammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	maraṇa-dhammo’mhi, maraṇaṃ anatītoti abhiṇhaṃ paccavekkhitabbaṃ itthiyā vā <b>purisena</b> vā gahaṭṭhena vā pabbajitena vā.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections	02n	puris	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=purisa"">feedback</a>"	Buddh’ābhitthuti Pañca-abhiṇha-paccavekkhaṇā
purisadamma	ss	masc	comp						person in training; man to be tamed					purisa + damma	puruṣa + damya								SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro <b>purisadamma</b>-sārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	MN 107	gaṇakamoggallānasuttaṃ	tathāgato <b>purisadammaṃ</b> labhitvā paṭhamaṃ evaṃ vineti.	Anupubba-sikkhā	The Gradual Training	Teachings	02n	purisadamm	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=purisadamma"">feedback</a>"	Buddh’ābhitthuti Anupubba-sikkhā
purisadammasārathi	ps	masc	comp						leader of persons to be tamed; trainer of tameable people					purisa + damma + sārathi						MN 137	saḷāyatanavibhaṅgasuttaṃ	tayo satipaṭṭhānā yad'ariyo sevati yad'ariyo sevamāno satthā gaṇam'anusāsitum'arahati, so vuccati yoggācariyānaṃ anuttaro <b>purisadammasārathī</b>'ti	SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro <b>purisadammasārathi</b> satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	purisadammasārath	i masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=purisadammasārathi"">feedback</a>"	Buddh’ābhitthuti
damma 1	ps	adj	ptp	dameti					able to be trained; fit to be tamed; tamable			√dam 3 ya (to be tame)		√dam + ya	damya	√dam				MN 137	saḷāyatanavibhaṅgasuttaṃ	hatthidamakena, bhikkhave, hatthi-<b>dammo</b> sārito ekaṃ’y’eva disaṃ dhāvati — puratthimaṃ vā pacchimaṃ vā uttaraṃ vā dakkhiṇaṃ vā.	SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisa-<b>damma</b>-sārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	damm	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=damma 1"">feedback</a>"	Buddh’ābhitthuti
sārathi 1	ps	masc	comp	ratha					a driver; charioteer; coachman					sa + ratha + i	sārathi					DHP 222	kodhavaggo	yo ve uppatitaṃ kodhaṃ, rathaṃ bhantaṃ'va vāraye,<br/>tam'ahaṃ <b>sārathiṃ</b> brūmi, rasmiggāho itaro jano.	SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadamma-<b>sārathi</b> satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	sārath	i masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sārathi 1"">feedback</a>"	Buddh’ābhitthuti
devamanussā	ss	masc	pl, comp						gods and men			√div &		devā + manussā	devamanuṣya								SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā <b>devamanussānaṃ</b> buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	DN 16.21	mahāparinibbānasuttaṃ	yatha'y'idaṃ brahmacariyaṃ addhaniyaṃ assa ciraṭṭhitikaṃ, tadassa bahujanahitāya bahujanasukhāya lok’ānukampāya atthāya hitāya sukhāya <b>devamanussānaṃ</b>	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings	02n	devamanuss	a masc pl	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=devamanussā"">feedback</a>"	Buddh’ābhitthuti Bodhipakkhiya-dhammā
buddha 2	ps	pp		bujjhati					awakened; woke up; understood			√budh 3 ya (to wake up)		√budh + ta	buddha	√budh				DHP 398	brāhmaṇavaggo	chetvā naddhiṃ varattañ'ca, sandānaṃ sah'anukkamaṃ,<br/>ukkhittapalighaṃ <b>buddhaṃ</b>, tam'ahaṃ brūmi brāhmaṇaṃ.	SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ <b>buddho</b> bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	buddh	a pp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=buddha 2"">feedback</a>"	Buddh’ābhitthuti
bhagavant 2	s	adj		bhaga					fortunate; illustrious; sublime; blessed; happy; glorious; auspicious			√bhaj 1 a (to divide, distribute)		√bhaj > bhag + a + vant	bhagavat	√bhaj							SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho <b>bhagavā</b>	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	bhagav	ant adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhagavant 2"">feedback</a>"	Buddh’ābhitthuti
pubbabhāga	s	adj	comp						preliminary; lit. part before			& √bhaj		pubba + bhāga									Thai		handa mayaṃ buddhassa bhagavato <b>pubbabhāga</b>-namakāraṃ karomase	Pubbabhāga-namakāra	Preliminary Homage	Homage to the Triple Gem							02n	pubbabhāg	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pubbabhāga"">feedback</a>"	Pubbabhāga-namakāra
bhāga	ps	masc		bhajati					part; portion; share; sort			√bhaj 1 a (to divide, distribute)		√bhaj > bhag + *a	bhāga	√bhaj				MN 19	dvedhāvitakkasuttaṃ	so kho ahaṃ, bhikkhave, yo c’āyaṃ kāmavitakko yo ca byāpādavitakko yo ca vihiṃsāvitakko — imaṃ ekaṃ <b>bhāgam</b>’akāsiṃ	Thai		handa mayaṃ buddhassa bhagavato pubba-<b>bhāga</b>-namakāraṃ karomase	Pubbabhāga-namakāra	Preliminary Homage	Homage to the Triple Gem							02n	bhāg	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhāga"">feedback</a>"	Pubbabhāga-namakāra
namas	s	masc	mano group	namati				+dat	reverence (to); veneration (to); homage (to)			√nam 1 a (to bend)		√nam + as	namas	√nam							Thai		handa mayaṃ buddhassa bhagavato pubbabhāga-<b>nama</b>-kāraṃ karomase	Pubbabhāga-namakāra	Preliminary Homage	Homage to the Triple Gem							02n	nam	as masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=namas"">feedback</a>"	Pubbabhāga-namakāra
namakāra	s	masc	comp						action of homage; act of veneration; homage-paying			√nam & √kar		nama + kāra	namaskara								Thai		handa mayaṃ buddhassa bhagavato pubbabhāga-<b>namakāraṃ</b> karomase	Pubbabhāga-namakāra	Preliminary Homage	Homage to the Triple Gem							02n	namakār	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=namakāra"">feedback</a>"	Pubbabhāga-namakāra
karomase	s	imp	reflx 1st pl	karoti			trans	+acc	we must do; let us make; act; perform			√kar 7 o (to do, make)	√kar + o > karo	karo + mase	karoti	√kṛ							Thai		handa mayaṃ buddhassa bhagavato pubbabhāga-namakāraṃ <b>karomase</b>	Pubbabhāga-namakāra	Preliminary Homage	Homage to the Triple Gem							02n	!*	karoti pr	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=karomase"">feedback</a>"	Pubbabhāga-namakāra
abhitthuti	s	fem							high praise; eulogy			√thu 5 nā (to praise)		abhi + √thu + ti		√stu							Thai		handa mayaṃ buddh’<b>ābhitthutiṃ</b> karomase	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	abhitthut	i fem	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhitthuti"">feedback</a>"	Buddh’ābhitthuti
imaṃ	ps	pron	masc fem & nt acc sg	ima					this (object)					ima + aṃ	imam, enam					TH 223	sabbakāmittheragāthā	yo cetā parivajjeti, sappasse’va padā siro.<br/>so’<b>maṃ</b> visattikaṃ loke, sato samativattati. 	MN 27	cūḷahatthipadopamasuttaṃ	so <b>imaṃ</b> lokaṃ sadevakaṃ samārakaṃ sabrahmakaṃ sassamaṇabrāhmaṇiṃ pajaṃ sadevamanussaṃ sayaṃ abhiññā sacchikatvā pavedeti.	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	!	ima	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=imaṃ"">feedback</a>"	Buddh'ābhitthuti
ādi 2	ps	masc							beginning; start						ādi					SNPa 1.4	kasibhāradvājasuttaṃ vaṇṇanā	 ajja’t’agge’ti ajjataṃ <b>ādiṃ</b> katvā, ajja’d’agge’ti vā pāṭho, da-kāro padasandhikaro, ajja aggaṃ katvā’ti vuttaṃ hoti.	MN 27	cūḷahatthipadopamasuttaṃ	so dhammaṃ deseti <b>ādi</b>-kalyāṇaṃ majjhekalyāṇaṃ pariyosānakalyāṇaṃ sātthaṃ sabyañjanaṃ, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ pakāseti.	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	ād	i masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ādi 2"">feedback</a>"	Buddh'ābhitthuti
ādikalyāṇa	ps	adj	comp						beneficial in the beginning; good from the get go; lovely in the beginning					ādi + kalyāṇa	ādi + kalyāṇa					AN 10.44	kusinārasuttaṃ	bahussuto nu kho’mhi sutadharo sutasannicayo, ye te dhammā <b>ādikalyāṇā</b> majjhekalyāṇā pariyosānakalyāṇā sātthaṃ sabyañjanaṃ kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ abhivadanti.	MN 27	cūḷahatthipadopamasuttaṃ	so dhammaṃ deseti <b>ādikalyāṇaṃ</b> majjhekalyāṇaṃ pariyosānakalyāṇaṃ sātthaṃ sabyañjanaṃ, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ pakāseti.	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	ādikalyāṇ	aī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ādikalyāṇa"">feedback</a>"	Buddh'ābhitthuti
kalyāṇa 1	ss	adj							good; favourable; propitious; beneficial; lovely						kalyāṇa								MN 27	cūḷahatthipadopamasuttaṃ	so dhammaṃ deseti ādi-<b>kalyāṇaṃ</b> majjhe-<b>kalyāṇaṃ</b> pariyosāna-<b>kalyāṇaṃ</b> sātthaṃ sabyañjanaṃ, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ pakāseti.	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	AN 10.48	pabbajitābhiṇhasuttaṃ	kamma-ssako’mhi, kamma-dāy’ādo, kamma-yoni, kamma-bandhu, kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi, <b>kalyāṇaṃ</b> vā pāpakaṃ vā, tassa dāy’ādo bhavissāmī’ti	Dasadhammā_pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Reflection<br/>by One Gone Forth	Reflections	02n	kalyāṇ	aī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kalyāṇa 1"">feedback</a>"	Buddh'ābhitthuti Dasadhammā_pabbajita-abhiṇha-paccavekkhaṇā
majjhe 1	ps	ind	adv, loc	majjha					in the middle; in the midst of					majjha + e	madhye					SN 22.80	piṇḍolyasuttaṃ	seyyathā’pi, bhikkhave, chav’ālātaṃ ubhato-padittaṃ <b>majjhe</b> gūthagataṃ, n’eva gāme kaṭṭhatthaṃ pharati, nāraññe kaṭṭhatthaṃ pharati. 	MN 27	cūḷahatthipadopamasuttaṃ	so dhammaṃ deseti ādikalyāṇaṃ <b>majjhe</b>-kalyāṇaṃ pariyosānakalyāṇaṃ sātthaṃ sabyañjanaṃ, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ pakāseti.	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=majjhe 1"">feedback</a>"	Buddh'ābhitthuti
majjhekalyāṇa	ps	adj	comp						good in the middle; beneficial in the middle; lovely in the middle					majjhe + kalyāṇa	madhye + kalyāṇa					AN 10.44	kusinārasuttaṃ	bahussuto nu kho’mhi sutadharo sutasannicayo, ye te dhammā ādikalyāṇā <b>majjhekalyāṇā</b> pariyosānakalyāṇā sātthaṃ sabyañjanaṃ kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ abhivadanti.	MN 27	cūḷahatthipadopamasuttaṃ	so dhammaṃ deseti ādikalyāṇaṃ <b>majjhekalyāṇaṃ</b> pariyosānakalyāṇaṃ sātthaṃ sabyañjanaṃ, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ pakāseti.	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	majjhekalyāṇ	aī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=majjhekalyāṇa"">feedback</a>"	Buddh'ābhitthuti
pariyosānakalyāṇa	ps	adj	comp						good at the end; beneficial at the conclusion; lovely in the ending					pariyosāna + kalyāṇa	paryavasāna + kalyāṇa					AN 10.44	kusinārasuttaṃ	bahussuto nu kho’mhi sutadharo sutasannicayo, ye te dhammā ādikalyāṇā majjhekalyāṇā <b>pariyosānakalyāṇā</b> sātthaṃ sabyañjanaṃ kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ abhivadanti.	MN 27	cūḷahatthipadopamasuttaṃ	so dhammaṃ deseti ādikalyāṇaṃ majjhekalyāṇaṃ <b>pariyosānakalyāṇaṃ</b> sātthaṃ sabyañjanaṃ, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ pakāseti.	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	pariyosānakalyāṇ	aī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pariyosānakalyāṇa"">feedback</a>"	Buddh'ābhitthuti
sātthaṃ sabyañjanaṃ	s	idiom	adj + adj						in spirit and in words; lit. in meaning and in letter					sa + attha + sa + byañjanaṃ	sārtha + savyañjana								MN 27	cūḷahatthipadopamasuttaṃ	so dhammaṃ deseti ādikalyāṇaṃ majjhekalyāṇaṃ pariyosānakalyāṇaṃ <b>sātthaṃ</b> <b>sabyañjanaṃ</b>, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ pakāseti.	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	!	sātthaṃ sabyañjanaṃ	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sātthaṃ sabyañjanaṃ"">feedback</a>"	Buddh'ābhitthuti
