Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback
atandita	ps	adj	pp	na tandita	neg				energetic; effortful; active; alert; lit. not lazy		relentless	√tand 1 a (to be slow, lazy)		na + √tand + ita	atandrita	√tand √tandr				DHP 305	pakiṇṇakavaggo	ek'āsanaṃ ekaseyyaṃ, eko caram'<b>atandito</b>,<br/>eko damayam'attānaṃ, van'ante ramito siyā.	MN 131	bhaddekarattasuttaṃ	evaṃ vihārim’ātāpiṃ, ahorattam’<b>atanditaṃ</b>. taṃ ve bhadd’eka-ratto’ti, santo ācikkhate muni.	Bhadd’eka-ratta	A single Excellent Night	Verses							16n	atandit	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atandita"">feedback</a>"
atikkamati 1	p	pr					trans	+acc	transcends; overcomes; goes beyond; crosses over			√kam 1 a (to go)	√kam + a > kama	ati + kama + ti	atikramate	√kram				DHP 221	kodhavaggo	kodhaṃ jahe vippajaheyya mānaṃ, saṃyojanaṃ sabbam'<b>atikkameyya</b>,<br/>taṃ nāmarūpasmim'asajjamānaṃ, akiñcanaṃ n'ānupatanti dukkhā.														atikkam	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atikkamati 1"">feedback</a>"
atikhīṇa 1	p	pp		khīyati					spent; shot (from a bow); lit. over-exhausted			√khī 1 a (to destroy, exhaust)		ati + √khī + na	ati + kṣīṇa	√kṣi				DHP 156	jarāvaggo	acaritvā brahmacariyaṃ, aladdhā yobbane dhanaṃ,<br/>senti cāpa-<b>atikhīṇā</b>'va, purāṇāni anutthunaṃ.														atikhīṇ	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atikhīṇa 1"">feedback</a>"
atiga	p	adj	in comps	atigacchati					overcome; surmounted; crossed; gone past			√gam 1 a (to go)		ati + √gam + a	atiga	√gam	atigata			DHP 370	bhikkhuvaggo	pañca chinde pañca jahe, pañca c'uttari bhāvaye,<br/>pañca saṅga-<b>atigo</b> bhikkhu, oghatiṇṇo'ti vuccati.														atig	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atiga"">feedback</a>"
atitta	p	adj	pp	tisati	neg				not satisfied; discontent			√tis 1 a (to satisfy)		na > a + √tis + ta	atṛpta	√tṛp				DHP 48	pupphavaggo	pupphāni h'eva pacinantaṃ, byāsattamanasaṃ naraṃ,<br/><b>atittañ</b>ñ'eva kāmesu, antako kurute vasaṃ.														atitt	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atitta"">feedback</a>"
atidhonacārī	p	adj	comp						who uses too many requisites; who indulges oneself too much					ati + dhona + cārī	ati + dhauta + cārin			(DHPa) dhonā vuccati cattāro paccaye, idam'atthaṃ ete'ti paccavekkhitvā paribhuñjanapaññā, taṃ atikkamitvā caranto atidhonacārī nāma		DHP 240	malavaggo	ayasā’va malaṃ samuṭṭhitaṃ, tat’uṭṭhāya tam’eva khādati. <br/>evaṃ <b>atidhonacārinaṃ</b>, sāni kammāni nayanti duggatiṃ.														atidhonacār	ī adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atidhonacārī"">feedback</a>"
atipāteti 2	p	pr		atipatati		caus	trans	+acc	destroys; kills; lit. causes to fall			√pat 1 *e (to fall)	√pat + *e > pāte (caus)	ati + pāte + ti		√pat				DHP 246	malavaggo	yo pāṇam’<b>atipāteti</b>, musā-vādañ’ca bhāsati. <br/>loke adinnam’ādiyati, paradārañ’ca gacchati.														atipāt	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atipāteti 2"">feedback</a>"
atirocati	p	pr					trans	+acc	outshines; dazzles; illuminates; lit. very shines			√ruc 1 a (to shine, like)	√ruc + *a > roca	ati + roca + ti	atirocate	√ruc				DHP 59	pupphavaggo	evaṃ saṅkārabhūtesu, andhabhūte puthujjane,<br/><b>atirocati</b> paññāya, sammāsambuddhasāvako.														atiroc	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atirocati"">feedback</a>"
ativasa	p	adj						+gen	dependent (upon); under the control (of)			√vas 1 a (to want, control)		ati + √vas + a	prativaśa	√vaś				DHP 74	bālavaggo	mam’eva kata maññantu, gihī-pabbajitā ubho, <br/>mam’ev’<b>ātivasā</b> assu, kicc'ākiccesu kismici. <br/>iti bālassa saṅkappo, icchā māno ca vaḍḍhati.														ativas	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ativasa"">feedback</a>"
ativākya	p	nt							abuse; blame; verbal assault			√vac 1 a (to say, speak)		ati + √vac > vak > vāk + *ya	ativākya (bsk)	√vac				DHP 320	nāgavaggo	ahaṃ nāgo'va saṅgāme, cāpato patitaṃ saraṃ,<br/><b>ativākyaṃ</b> titikkhissaṃ, dussīlo hi bahujjano.														ativāky	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ativākya"">feedback</a>"
atīta 3	p	pp		accayati					transgressed; overstepped; lit. gone past			√i 1 a (to come, go)		ati + √i + ta	atīta	√i				DHP 176	lokavaggo	ekaṃ dhammaṃ <b>atītassa</b>, musāvādissa jantuno,<br/>vitiṇṇaparalokassa, n'atthi pāpaṃ akāriyaṃ.														atīt	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atīta 3"">feedback</a>"
atula	p	adj		tuleti	neg				personal name; lit. immeasurable; uncountable			√tul 8 *e (to weigh)		na > a + √tul + a	atula	√tul				DHP 227	kodhavaggo	porāṇam'etaṃ <b>atula</b>, n'etaṃ ajjatanām'iva,<br/>nindanti tuṇhim'āsīnaṃ, nindanti bahubhāṇinaṃ,<br/>mitabhāṇim'pi nindanti, n'atthi loke anindito.														atul	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atula"">feedback</a>"
attagutta	p	adj	comp						self-restrained; self-guarded					atta + gutta	ātman + gupta			(DHPa) so'ti so tvaṃ, bhikkhu, evaṃ sante attanā'va guttatāya attagutto.		DHP 379	bhikkhuvaggo	attanā coday'attānaṃ, paṭimaṃsetha attanā,<br/>so <b>attagutto</b> satimā, sukhaṃ bhikkhu vihāhisi.														attagutt	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attagutta"">feedback</a>"
attaghāta	p	masc	comp						self-destruction; self-annihilation					atta + ghāta	ātmā + ghāta		attaghañña			DHP 164	attavaggo	yo sāsanaṃ arahataṃ, ariyānaṃ dhammajīvinaṃ,<br/>paṭikkosati dummedho, diṭṭhiṃ nissāya pāpikaṃ,<br/>phalāni kaṭṭhakass'eva, <b>attaghātāya</b> phallati.														attaghāt	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attaghāta"">feedback</a>"
attaja 1	p	adj	comp						self-created; self-originated; lit. born from oneself					atta + ja	ātmaja					DHP 161	attavaggo	attanā hi kataṃ pāpaṃ, <b>attajaṃ</b> attasambhavaṃ,<br/>abhimatthati dummedhaṃ, vajiraṃ'v'asmamayaṃ maṇiṃ.														attaj	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attaja 1"">feedback</a>"
attadaṇḍa 2	p	adj	comp						armed; violent; fighting; lit. taken stick					atta + daṇḍa	ātta + daṇḍa					DHP 406	brāhmaṇavaggo	aviruddhaṃ viruddhesu, <b>attadaṇḍesu</b> nibbutaṃ,<br/>sādānesu anādānaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.														attadaṇḍ	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attadaṇḍa 2"">feedback</a>"
attadattha	p	masc	comp						one’s own welfare; personal benefit; personal profit					atta + [d] + attha	ātman + artha					DHP 166	attavaggo	<b>atta’d’atthaṃ</b> par’atthena, bahunā’pi na hāpaye, <br/><b>atta’d’attham</b>’abhiññāya, sadattha-pasuto siyā.														attadatth	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attadattha"">feedback</a>"
attadanta	pp	adj	comp						self controlled; self restrained					atta + danta	ātman + dānta			(ANa) attadantan'ti attanāyeva dantaṃ, na aññehi damathaṃ upanītaṃ.		DHP 322	nāgavaggo	varam’assatarā dantā, ājānīyā ca sindhavā, <br/>kuñjarā ca mahānāgā, <b>attadanto</b> tato varaṃ.	DHP 104	sahassavaggo	attā have jitaṃ seyyo, yā c'āyaṃ itarā pajā.<br/><b>attadantassa</b> posassa, niccaṃ saññatacārino.											attadant	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attadanta"">feedback</a>"
attanaṃ	p	masc	acc sg	atta					self; himself; herself; itself; yourself; oneself (object)					atta + ānaṃ	ātmānam		attānaṃ			DHP 355	taṇhāvaggo	hananti bhogā dummedhaṃ, no ca pāragavesino,<br/>bhogataṇhāya dummedho, hanti aññ'eva <b>attanaṃ</b>.														!att	a2 masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attanaṃ"">feedback</a>"
attanā	ps	masc	instr sg, atta group	atta					with oneself; by self			√as 1 a (to be)		atta + anā	ātmanā	√as				DHP 66	bālavaggo	caranti bālā dummedhā, amitten'eva <b>attanā</b>,<br/>karontā pāpakaṃ kammaṃ, yaṃ hoti kaṭukapphalaṃ.	MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti dinn’ādāyī dinnapāṭikaṅkhī, athenena sucibhūtena <b>attanā</b> viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	!att	a2 masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attanā"">feedback</a>"
attano 1	pp	masc	dat sg, atta group	atta					for self; to oneself			√as 1 a (to be)		atta + no	ātmanaḥ	√as				DHP 163	attavaggo	sukarāni asādhūni, <b>attano</b> ahitāni ca, <br/>yaṃ ve hitañ’ca sādhuñ’ca, taṃ ve paramadukkaraṃ.	VIN PAT NP 30	pariṇata sikkhāpada	yo pana bhikkhu jānaṃ saṅghikaṃ lābhaṃ pariṇataṃ <b>attano</b> pariṇāmeyya, nissaggiyaṃ pācittiyaṃ.											!att	a2 masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attano 1"">feedback</a>"
attano 2	ps	masc	gen sg, irreg	atta					of self; of oneself			√as 1 a (to be)		atta + no	ātmanaḥ	√as				DHP 239	malavaggo	anupubbena medhāvī, thokaṃ thokaṃ khaṇe khaṇe. <br/>kammāro rajatass’eva, niddhame malam’<b>attano</b>.	SNP 22	uṭṭhānasuttaṃ<br/> cūḷavaggo 10	pamādo rajo pamādo, pamād’ānupatito rajo, <br/>appamādena vijjāya, abbahe sallam’<b>attano</b>’ti.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses							15n	!att	a2 masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attano 2"">feedback</a>"
attamana	ps	adj	comp						pleased; happy; delighted; satisfied; lit. own mind					atta + mana	ātta + manas					DHP 328	nāgavaggo	sace labhetha nipakaṃ sahāyaṃ, saddhiṃcaraṃ sādhuvihāridhīraṃ,<br/>abhibhuyya sabbāni parissayāni, careyya ten'<b>attamano</b> satīmā.	SN 22.59	anattalakkhaṇasuttaṃ	idam’avoca bhagavā. <b>attamanā</b> pañcavaggiyā bhikkhū bhagavato bhāsitaṃ abhinanduṃ.	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas							38n	attaman	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attamana"">feedback</a>"
attasambhava	p	adj	comp						self-generated; produced by oneself					atta + sambhava	ātmasambhava					DHP 161	attavaggo	attanā hi kataṃ pāpaṃ, attajaṃ <b>attasambhavaṃ</b>,<br/>abhimatthati dummedhaṃ, vajiraṃ'v'asmamayaṃ maṇiṃ.														attasambhav	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attasambhava"">feedback</a>"
attahetu	pp	ind	adv, comp						for one’s own sake					atta + hetu	ātman + hetu					DHP 84	paṇḍitavaggo	na <b>attahetu</b> na parassa hetu, na puttam'icche na dhanaṃ na raṭṭhaṃ,<br/>na iccheyya adhammena samiddhim'attano, sa sīlavā paññavā dhammiko siyā.	AN 3.28	gūthabhāṇīsuttaṃ	iti <b>attahetu</b> vā parahetu vā āmisakiñcikkhahetu vā sampajānamusā bhāsitā hoti. ayaṃ vuccati, bhikkhave, puggalo gūthabhāṇī.											-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attahetu"">feedback</a>"
atta 4	pn	pp		ādadāti					taken up; accepted; seized; grasped			√ādā 3 ya (to take, seize)		√ādā > ad + ta	ātta	ā√dā				DHP 406	brāhmaṇavaggo	aviruddhaṃ viruddhesu, <b>atta</b>-daṇḍesu nibbutaṃ, sādānesu anādānaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.	SNP 53	attadaṇḍasuttaṃ aṭṭhakavaggo 15	<b>atta</b>-daṇḍā bhayaṃ jātaṃ, janaṃ passatha medhagaṃ, saṃvegaṃ kittayissāmi, yathā saṃvijitaṃ mayā.											att	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atta 4"">feedback</a>"
attānuyogī	p	adj	comp						devoted to one’s own welfare; practising for one’s own development; engaging in meditation					atta + anuyogī	ātman + anuyogin			(DHPa) pihet'attānuyoginan'ti tāya paṭipattiyā sāsanato cuto gihibhāvaṃ patvā pacchā ye attānuyogaṃ anuyuttā sīlādīni sampādetvā devamanussānaṃ santikā sakkāraṃ labhanti, tesaṃ piheti, aho vat'āham'pi evarūpo assan'ti icchatī'ti attho.		DHP 209	piyavaggo	ayoge yuñjam'attānaṃ, yogasmiñ'ca ayojayaṃ,<br/>atthaṃ hitvā piyaggāhī, pihet'<b>att'ānuyoginaṃ.</b>														attānuyog	ī adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attānuyogī"">feedback</a>"
atthapada	p	nt	comp						beneficial saying; profitable verse					attha + pada	arthapada					DHP 100	sahassavaggo	sahassam'api ce vācā, anatthapada-saṃhitā,<br/>ekaṃ <b>atthapadaṃ</b> seyyo, yaṃ sutvā upasammati.														atthapad	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atthapada"">feedback</a>"
atthavasa 1	p	nt	comp						benefit; advantage					attha + vasa	arthavaśa					DHP 289	maggavaggo	etam'<b>atthavasaṃ</b> ñatvā, paṇḍito sīlasaṃvuto,<br/>nibbānagamanaṃ maggaṃ, khippam'eva visodhaye.														atthavas	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atthavasa 1"">feedback</a>"
atthaṃ gacchati	p	pr	comp vb						disappears; dissolves; vanishes; lit. goes home					atthaṃ + gacchati	artha + gacchati					DHP 226	kodhavaggo	sadā jāgaramānānaṃ, ahoratt'ānusikkhinaṃ,<br/>nibbānaṃ adhimuttānaṃ, <b>atthaṃ</b> <b>gacchanti</b> āsavā.														!	atthaṃ gacchati	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atthaṃ gacchati"">feedback</a>"
attha 6	p	adj	in comps						needing; wanting			√ar 1 a (to move, attain)		√ar + tha	artha	√ṛ				DHP 337	taṇhāvaggo	taṃ vo vadāmi bhaddaṃ vo, yāvant'ettha samāgatā,<br/>taṇhāya mūlaṃ khaṇatha, usīr'<b>attho</b>'va bīraṇaṃ,<br/>mā vo naḷaṃ'va soto'va, māro bhañji punappunaṃ.														atth	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attha 6"">feedback</a>"
attha 7	ps	masc							home; rest; shelter						asta					DHP 226	kodhavaggo	sadā jāgaramānānaṃ, ahoratt'ānusikkhinaṃ,<br/>nibbānaṃ adhimuttānaṃ, <b>atthaṃ</b> gacchanti āsavā.	DN 22.18	mahāsatipaṭṭhānasuttaṃ	sukhassa ca pahānā dukkhassa ca pahānā, pubb’eva somanassa-domanassānaṃ <b>atthaṅ’</b>gamā, adukkham’asukhaṃ upekkhā-sati-pārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	atth	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attha 7"">feedback</a>"
athassa 2	p	sandhi	ind + pron						then his; as his					atha + assa	atha + asya					DHP 384	brāhmaṇavaggo	yadā dvayesu dhammesu, pāragū hoti brāhmaṇo,<br/><b>ath'assa</b> sabbe saṃyogā, atthaṃ gacchanti jānato.														!	atha ima	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=athassa 2"">feedback</a>"
atha vā	p	idiom	ind + ind						or						athavā					DHP 83	paṇḍitavaggo	sabbattha ve sappurisā cajanti, na kāmakāmā lapayanti santo, <br/>sukhena phuṭṭhā <b>atha vā</b> dukhena, na ucc’āvacaṃ paṇḍitā dassayanti.														!	atha vā	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atha vā"">feedback</a>"
atha 1	ps	ind							and; then; and also						atha					DHP 279	maggavaggo	“sabbe dhammā anattā”ti, yadā paññāya passati. <br/><b>atha</b> nibbindati dukkhe, esa maggo visuddhiyā.	SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	<b>atha</b> kho aññatarā devatā abhikkantāya rattiyā abhikkanta-vaṇṇā kevalakappaṃ jetavanaṃ obhāsetvā yena bhagavā ten’upasaṅkami	Maṅgala-sutta	The Highest Blessings	Protective Recitations							51n	-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atha 1"">feedback</a>"
atha 2	pp	ind							but; rather; even						atha					DHP 85	paṇḍitavaggo	appakā te manussesu, ye janā pāragāmino,<br/><b>atha</b>-ayaṃ itarā pajā, tīram'ev'ānudhāvati.	DHP 136	daṇḍavaggo	<b>atha</b> pāpāni kammāni, karaṃ bālo na bujjhati,<br/>sehi kammehi dummedho, aggidaḍḍho'va tappati.											-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atha 2"">feedback</a>"
adaṇḍa 1	p	adj		daṇḍa	neg				unarmed; peaceful; lit. without a stick					na > a + daṇḍa	adaṇḍa					DHP 137	daṇḍavaggo	yo daṇḍena <b>adaṇḍesu</b>, appaduṭṭhesu dussati,<br/>dasannam'aññataraṃ ṭhānaṃ, khippam'eva nigacchati.														adaṇḍ	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=adaṇḍa 1"">feedback</a>"
adassana 1	pp	nt			neg			+gen	out of sight (of); disappearance (of); invisibility			√dis 1 a (to see)	√dis + a > dassa (irreg)	na + dassa + ana	adarśana	√dṛś				DHP 46	pupphavaggo	pheṇ'ūpamaṃ kāyam'imaṃ viditvā, marīcidhammaṃ abhisambudhāno,<br/>chetvāna mārassa papupphakāni, <b>adassanaṃ</b> maccurājassa gacche.	JA 253	maṇikaṇṭha jātakaṃ	na taṃ yāce yassa piyaṃ jigiṃse, desso hoti atiyācanāya,<br/>nāgo maṇiṃ yācito brāhmaṇena, <b>adassanaṃ</b>'y'eva tad'ajjhagamā’ti.											adassan	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=adassana 1"">feedback</a>"
adassana 2	pp	nt			neg			+gen	absence (of); lit. not seeing (of)			√dis 1 a (to see)	√dis + a > dassa (irreg)	na > a + dassa + ana	adarśana	√dṛś				DHP 206	sukhavaggo	sāhu dassanam'ariyānaṃ, sannivāso sadā sukho,<br/><b>adassanena</b> bālānaṃ, niccam'eva sukhī siyā.	DHP 210	piyavaggo	mā piyehi samāgañchi, appiyehi kudācanaṃ,<br/>piyānaṃ <b>adassanaṃ</b> dukkhaṃ, appiyānañ'ca dassanaṃ.											adassan	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=adassana 2"">feedback</a>"
adinna	ps	adj	pp	na dadāti	neg				not given; not offered			√dā 1 a (to give)		na + √dā > dī + na	adatta	√dā				DHP 246	malavaggo	yo pāṇam’atipāteti, musā-vādañ’ca bhāsati. <br/>loke <b>adinnam</b>’ādiyati, paradārañ’ca gacchati. 	DN 22.18	mahāsatipaṭṭhānasuttaṃ	pāṇ’ātipātā veramaṇī, <b>adinn’</b>ādānā veramaṇī, kāmesu-micchācārā veramaṇī, ayaṃ vuccati bhikkhave sammā-kammanto. 	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	adinn	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=adinna"">feedback</a>"
addhagū	p	masc	comp						traveller; voyager; lit. journey goer					addha + gū	adhvaga					DHP 302	pakiṇṇakavaggo	duppabbajjaṃ durabhiramaṃ, durāvāsā gharā dukhā,<br/>dukkho'samāna-saṃvāso, dukkh'ānupatit'<b>addhagū</b>,<br/>tasmā na c'<b>addhagū</b> siyā, na ca dukkh'ānupatito siyā.														addhag	ū masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=addhagū"">feedback</a>"
